id,driver_id,start_ts,end_ts,vehicle_id,ambulatory_riders,handicapped_riders,total_riders,status,updated_at
138922,11.0,2022-02-18 20:31:50,2022-02-18 22:12:37,42,3,1,4,Completed,2022-02-18 22:12:43
138920,33.0,2022-02-18 20:51:44,2022-02-18 21:39:41,41,2,0,2,Completed,2022-02-18 21:39:42
138913,23.0,2022-02-18 13:30:02,2022-02-18 15:42:53,72,2,1,3,Completed,2022-02-18 19:14:45
138912,11.0,2022-02-18 13:16:18,2022-02-18 14:56:27,42,3,1,4,Completed,2022-02-18 19:14:48
138909,24.0,2022-02-18 11:02:26,2022-02-18 13:06:47,71,5,0,5,Completed,2022-02-18 19:14:51
138906,33.0,2022-02-18 11:40:36,2022-02-18 13:17:16,41,4,1,5,Completed,2022-02-18 19:14:53
138904,11.0,2022-02-18 11:11:57,2022-02-18 13:14:37,42,5,0,5,Completed,2022-02-18 19:14:55
138847,21.0,2022-02-23 11:16:53,2022-02-23 13:47:37,85,7,0,7,Completed,2022-02-23 13:47:40
138847,21.0,2022-02-23 11:16:53,2022-02-23 13:47:37,85,7,0,7,Completed,2022-07-24 00:50:57
138844,2190.0,2022-02-24 20:02:00,2022-02-24 21:42:39,46,7,0,7,Completed,2022-02-24 21:42:39
138844,2190.0,2022-02-24 20:02:00,2022-02-24 21:42:39,46,7,0,7,Completed,2022-07-24 00:50:55
138827,45.0,2022-02-22 01:00:59,2022-02-22 01:58:07,42,0,1,1,Completed,2022-02-22 01:58:10
138827,45.0,2022-02-22 01:00:59,2022-02-22 01:58:07,42,0,1,1,Completed,2022-07-24 00:50:39
138807,15392.0,2022-02-24 14:18:00,2022-02-24 14:36:47,7,1,0,1,Completed,2022-02-24 14:36:48
138807,15392.0,2022-02-24 14:18:00,2022-02-24 14:36:47,7,1,0,1,Completed,2022-07-24 00:50:18
138796,15392.0,2022-02-22 17:23:33,2022-02-22 17:51:44,7,1,0,1,Completed,2022-02-22 17:51:44
138796,15392.0,2022-02-22 17:23:33,2022-02-22 17:51:44,7,1,0,1,Completed,2022-07-24 00:50:06
138793,15392.0,2022-02-22 16:09:15,2022-02-22 16:16:00,7,1,0,1,Completed,2022-02-22 16:16:01
138793,15392.0,2022-02-22 16:09:15,2022-02-22 16:16:00,7,1,0,1,Completed,2022-07-24 00:50:03
138787,15392.0,2022-02-25 14:46:39,2022-02-25 15:21:35,7,1,0,1,Completed,2022-02-25 15:21:36
138787,15392.0,2022-02-25 14:46:39,2022-02-25 15:21:35,7,1,0,1,Completed,2022-07-24 00:49:54
138788,15392.0,2022-02-25 18:43:41,2022-02-25 19:06:01,7,1,0,1,Completed,2022-02-25 19:06:01
138788,15392.0,2022-02-25 18:43:41,2022-02-25 19:06:01,7,1,0,1,Completed,2022-07-24 00:49:54
138789,15392.0,2022-02-25 21:24:03,2022-02-25 21:39:24,7,1,0,1,Completed,2022-02-25 21:39:24
138789,15392.0,2022-02-25 21:24:03,2022-02-25 21:39:24,7,1,0,1,Completed,2022-07-24 00:49:55
138782,15392.0,2022-02-26 17:17:13,2022-02-26 17:41:00,7,1,0,1,Completed,2022-02-26 17:41:01
138782,15392.0,2022-02-26 17:17:13,2022-02-26 17:41:00,7,1,0,1,Completed,2022-07-24 00:49:49
138778,6.0,2022-02-23 19:57:52,2022-02-23 20:34:13,43,1,1,2,Completed,2022-02-23 20:34:12
138778,6.0,2022-02-23 19:57:52,2022-02-23 20:34:13,43,1,1,2,Completed,2022-07-24 00:49:45
138780,16576.0,2022-02-23 23:47:28,2022-02-24 00:32:47,253,1,0,1,Completed,2022-02-24 00:32:52
138780,16576.0,2022-02-23 23:47:28,2022-02-24 00:32:47,253,1,0,1,Completed,2022-07-24 00:49:47
